                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3511,                 4.5713,                 4.2319,                0.00233,                    0.7,                0.00223,                0.00079,                 2.2216,                 4.5015,                 4.1593,                  8e-05,                  8e-05,                  8e-05
                      2,                 2.2963,                 4.4679,                 4.2261,                0.00233,                    0.7,                0.00217,                0.00088,                 2.2216,                 4.4999,                 4.1587,             0.00016218,             0.00016218,             0.00016218
                      3,                 2.3848,                 4.4005,                 4.1573,                0.00233,                    0.7,                0.00219,                0.00089,                 2.2181,                 4.4999,                 4.1548,             0.00022456,             0.00022456,             0.00022456
                      4,                 2.4577,                 4.3274,                  4.152,                0.00233,                    0.7,                0.00274,                0.00101,                 2.2152,                 4.4975,                 4.1505,             0.00026714,             0.00026714,             0.00026714
                      5,                  2.411,                 4.3464,                 4.1632,                0.00233,                    0.7,                0.00256,                  0.001,                 2.2091,                 4.4945,                 4.1438,             0.00028992,             0.00028992,             0.00028992
                      6,                 2.1259,                 4.2606,                 4.0731,                0.00233,                    0.7,                0.00228,                0.00093,                 2.2056,                 4.4939,                  4.139,              0.0002929,              0.0002929,              0.0002929
                      7,                 2.3978,                 4.2758,                 4.0775,                0.00233,                    0.7,                0.00627,                0.00151,                 2.1996,                 4.4908,                 4.1306,             0.00027608,             0.00027608,             0.00027608
                      8,                 2.2799,                 4.1136,                 4.0025,                0.00233,                    0.7,                0.00217,                0.00091,                 2.1938,                  4.486,                 4.1245,             0.00023946,             0.00023946,             0.00023946
                      9,                  2.324,                 4.1334,                 3.9528,                0.00233,                    0.7,                 0.0024,                0.00095,                 2.1856,                 4.4823,                 4.1158,             0.00018304,             0.00018304,             0.00018304
                     10,                 2.3011,                 4.1233,                 3.9533,                0.00233,                    0.7,                0.00548,                0.00173,                 2.1816,                 4.4827,                 4.1113,             0.00010682,             0.00010682,             0.00010682
